Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2025-06-18,2025-06-23,CUST101,Joel Banks,Hone Office,PROD7922,Laptop,Electronics,East,Maryland,Andersonton,2,122,0,244.0,204.37,39.63,Credit Card,Returned,Morales PLC,colondana@mason.net,38,No,0
ORD1001,2025-12-04,2025-12-10,CUST806,Brian Jones,Hone Office,PROD5620,Bookshelf,Furniture,West,West Virginia,East Sharon,2,3586,5,6813.4,4543.81,2269.59,UPI,Pending,"Murray, Morales and Marks",zwalker@jenkins-richards.com,28,No,0
ORD1002,2025-01-25,2025-01-26,CUST707,Jordan Bush,Consumer,PROD2283,Stapler,Office Supplies,East,Nevada,Lake Brandi,3,487,20,1168.8,926.27,242.53,Net Banking,Cancelled,"Evans, Rojas and Flores",reesecharles@massey.com,14,No,0
ORD1003,2024-05-27,2024-06-03,CUST416,Lauren Silva,Corporate,PROD7684,File Folder,Office Supplies,South,North Carolina,North Christopherstad,9,1224,5,10465.2,7970.44,2494.76,Credit Card,Cancelled,Mcdowell Inc,vdurham@turner.com,15,No,0
ORD1004,2024-12-11,2024-12-16,CUST829,Karen Mccullough,Corporate,PROD4347,Keyboard,Electronics,South,Georgia,Lake Sheri,9,3391,5,28993.05,21347.82,7645.23,Net Banking,Pending,Hill LLC,cartervictoria@brown.com,24,No,0
ORD1005,2024-10-13,2024-10-19,CUST375,Cheryl Mejia,Corporate,PROD5199,Snacks,Grocery,North,West Virginia,Brownport,1,3471,20,2776.8,2220.08,556.72,Cash,Cancelled,Giles Inc,davidblake@page-nguyen.com,36,No,0
ORD1006,2025-04-07,2025-04-13,CUST173,Brittany Lowe,Hone Office,PROD4625,Keyboard,Electronics,West,Washington,South Michaelland,6,4257,0,25542.0,20232.17,5309.83,Net Banking,Returned,"Moore, Taylor and Duncan",mary74@richardson.info,7,Yes,20
ORD1007,2024-12-31,2025-01-04,CUST847,Nicole Bowman,Consumer,PROD1211,Rice Bag,Grocery,South,Georgia,Christinahaven,7,3676,5,24445.4,16892.52,7552.88,UPI,Returned,Evans-Hunt,flara@taylor-miller.org,11,No,0
ORD1008,2024-11-29,2024-12-02,CUST691,Nicole Simmons,Hone Office,PROD6740,Juice Pack,Grocery,North,Georgia,Harrisstad,8,2295,15,15606.0,11241.38,4364.62,UPI,Pending,Wells Group,alvarezsheila@shaffer.info,11,No,0
ORD1009,2024-12-21,2024-12-25,CUST194,Shawn Peterson,Consumer,PROD5322,Pen,Office Supplies,North,New York,Santiagofurt,1,1974,10,1776.6,1137.45,639.15,Cash,Delivered,Reeves Group,burtoncheryl@moody.info,28,No,0
ORD1010,2025-11-29,2025-12-04,CUST131,Justin Whitaker,Consumer,PROD9719,Calculator,Office Supplies,South,Delaware,Lake Ericabury,8,3158,5,24000.8,18191.72,5809.08,Net Banking,Returned,"Delgado, Harris and Jones",aaronsimmons@lewis.net,18,No,0
ORD1011,2025-07-08,2025-07-14,CUST794,Adam Ball,Corporate,PROD6209,Stapler,Office Supplies,South,New Hampshire,Seanport,2,147,0,294.0,203.33,90.67,Cash,Delivered,Rojas-Austin,amber40@thomas-gomez.com,41,No,0
ORD1012,2025-10-09,2025-10-12,CUST757,Michelle Reid,Corporate,PROD7322,Office Chair,Furniture,West,New York,Williammouth,2,4411,15,7498.7,6648.68,850.02,Credit Card,Cancelled,Cole and Sons,kempelizabeth@kaufman.net,3,Yes,36
ORD1013,2025-10-26,2025-10-28,CUST926,Jennifer Welch,Consumer,PROD8823,Laptop,Electronics,South,New York,Kristinville,9,3036,0,27324.0,19152.07,8171.93,Cash,Cancelled,Flowers-Chen,thaynes@robinson.com,40,No,0
ORD1014,2024-11-03,2024-11-05,CUST136,Willie Chan,Corporate,PROD4398,File Folder,Office Supplies,South,West Virginia,Michaelmouth,8,2893,15,19672.4,15662.84,4009.56,UPI,Cancelled,"Gates, Stewart and Harris",jonesmiranda@burnett.org,9,Yes,34
ORD1015,2025-04-22,2025-04-24,CUST576,Mr. John Ayers,Hone Office,PROD6096,Sugar,Grocery,East,North Carolina,Keithburgh,6,2293,20,11006.4,9827.71,1178.69,Net Banking,Cancelled,Gardner PLC,peter94@wong.com,7,Yes,39
ORD1016,2024-07-28,2024-07-31,CUST917,Robert Williams,Consumer,PROD5792,Snacks,Grocery,East,Alabama,Garciaborough,10,4130,0,41300.0,33738.44,7561.56,Credit Card,Returned,Morgan Inc,thomas97@reed.biz,37,No,0
ORD1017,2024-06-03,2024-06-05,CUST421,Levi Gomez,Corporate,PROD4624,Cooking Oil,Grocery,West,Rhode Island,Wallacehaven,6,2187,15,11153.7,8057.31,3096.39,UPI,Delivered,Rangel-Myers,whitney91@bennett-george.com,48,No,0
ORD1018,2026-01-23,2026-01-27,CUST749,Matthew Petty DVM,Corporate,PROD8318,Dining Table,Furniture,West,Maine,Lake Toddchester,3,1382,20,3316.8,2669.93,646.87,Credit Card,Cancelled,"Willis, Snyder and Contreras",samanthacross@rich-hughes.com,12,No,0
ORD1019,2025-08-26,2025-09-01,CUST805,Timothy Thompson,Consumer,PROD1681,Keyboard,Electronics,North,Iowa,Scottstad,1,3198,5,3038.1,2572.92,465.18,UPI,Cancelled,Taylor-Washington,mitchellashley@davis.biz,14,No,0
ORD1020,2024-11-21,2024-11-25,CUST306,Rebecca Chen,Corporate,PROD1230,File Folder,Office Supplies,West,New Mexico,Robertton,4,2370,0,9480.0,6104.66,3375.34,Credit Card,Returned,"Peters, Ferrell and Robinson",courtneyhorton@baldwin-wells.com,20,No,0
